n_samples,cv_fold,f1,precision,recall,auc
64,0,0.844106463878327,0.9823008849557522,0.74,0.8633333333333334
64,1,0.841726618705036,0.9140625,0.78,0.8533333333333333
64,2,0.8252788104089219,0.9327731092436975,0.74,0.8433333333333334
64,3,0.6531531531531531,0.4931972789115646,0.9666666666666667,0.4866666666666667
64,4,0.8178438661710037,0.9243697478991597,0.7333333333333333,0.8366666666666667
128,0,0.9247311827956989,1.0,0.86,0.9299999999999999
128,1,0.916083916083916,0.9632352941176471,0.8733333333333333,0.9199999999999999
128,2,0.9399293286219081,1.0,0.8866666666666667,0.9433333333333334
128,3,0.9342560553633218,0.9712230215827338,0.9,0.9366666666666666
128,4,0.9110320284697508,0.9770992366412213,0.8533333333333334,0.9166666666666666
192,0,0.9473684210526315,1.0,0.9,0.95
192,1,0.9436619718309859,1.0,0.8933333333333333,0.9466666666666667
192,2,0.9477351916376306,0.9927007299270073,0.9066666666666666,0.9500000000000001
192,3,0.9436619718309859,1.0,0.8933333333333333,0.9466666666666667
192,4,0.952054794520548,0.9788732394366197,0.9266666666666666,0.9533333333333334
256,0,0.9761092150170648,1.0,0.9533333333333334,0.9766666666666667
256,1,0.9830508474576272,1.0,0.9666666666666667,0.9833333333333334
256,2,0.9795918367346939,1.0,0.96,0.98
256,3,0.9619377162629758,1.0,0.9266666666666666,0.9633333333333334
256,4,0.98989898989899,1.0,0.98,0.99
352,0,0.9932885906040269,1.0,0.9866666666666667,0.9933333333333334
352,1,0.9864864864864865,1.0,0.9733333333333334,0.9866666666666667
352,2,0.9795918367346939,1.0,0.96,0.98
352,3,0.9830508474576272,1.0,0.9666666666666667,0.9833333333333334
352,4,0.9864864864864865,1.0,0.9733333333333334,0.9866666666666667
416,0,0.9932885906040269,1.0,0.9866666666666667,0.9933333333333334
416,1,0.9864864864864865,1.0,0.9733333333333334,0.9866666666666667
416,2,0.9864864864864865,1.0,0.9733333333333334,0.9866666666666667
416,3,0.9830508474576272,1.0,0.9666666666666667,0.9833333333333334
416,4,0.98989898989899,1.0,0.98,0.99
512,0,0.9966555183946488,1.0,0.9933333333333333,0.9966666666666666
512,1,1.0,1.0,1.0,1.0
512,2,0.9966555183946488,1.0,0.9933333333333333,0.9966666666666666
512,3,1.0,1.0,1.0,1.0
512,4,0.9966555183946488,1.0,0.9933333333333333,0.9966666666666666
